                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5991,                 1.5238,                 2.2401,                0.79282,                0.83921,                0.90396,                0.50193,                 1.4657,                 1.2102,                  2.013,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.7181,                 1.5689,                 2.3141,                0.80565,                0.83634,                0.91102,                0.51699,                 1.4679,                 1.2662,                 2.0154,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.6495,                  1.599,                 2.2134,                0.93498,                0.77193,                0.92926,                0.49943,                 1.6509,                 1.3162,                 2.1275,               0.000944,               0.000944,               0.000944
                     83,                 1.6353,                 1.5489,                 2.2228,                0.86401,                0.83599,                0.93246,                0.58928,                 1.3738,                 1.1942,                  2.036,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.6589,                 1.5977,                 2.2782,                0.92815,                0.79325,                0.93413,                 0.5537,                 1.4465,                 1.2414,                 2.0962,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.6785,                 1.5864,                 2.2652,                0.90919,                0.83333,                0.93919,                0.58898,                 1.3503,                 1.2822,                 1.9997,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.6359,                 1.5751,                 2.2131,                0.92442,                0.85088,                0.94296,                0.59381,                 1.4435,                 1.3022,                 1.9896,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.6168,                 1.5146,                 2.1788,                 0.9092,                0.89474,                0.95009,                 0.5857,                 1.4527,                 1.1973,                 1.9427,               0.000878,               0.000878,               0.000878
                     88,                 1.5989,                 1.4403,                 2.1616,                0.82298,                0.81579,                0.87509,                0.53684,                 1.4135,                 1.3131,                 2.0415,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.5839,                 1.5452,                 2.1455,                 0.7976,                0.82962,                0.90541,                0.57679,                 1.3256,                 1.2941,                 1.9397,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.6261,                 1.4814,                 2.2202,                0.79683,                0.89447,                0.92936,                0.55515,                 1.4189,                 1.1919,                 1.9817,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.6485,                 1.4915,                 2.2245,                0.81839,                0.77193,                0.88616,                0.52458,                 1.4127,                 1.2471,                 1.9909,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.6264,                 1.4694,                 2.1858,                0.88668,                0.89227,                0.92933,                0.51413,                 1.4284,                 1.1995,                 2.0214,               0.000812,               0.000812,               0.000812
